word,pos,definition
opec,abbreviation,"OPEC is defined as an abbreviation for Organization of Petroleum Exporting Countries, which is a union of oil producing countries that regulate the amount of oil each country is able to produce."
opener,noun,通常构成复合词/
,noun,tool that is used to open things
openhanded,,
openly,,
operable,,
operant,,
operational,,
opinion poll,,
opium,noun,drug made from poppy seeds
opportunist,,
opposed,,
optic,adjective,of the eye
,noun,something that tricks your eyes and makes you think you see sth that is not there
optician,,
optimist,,
optimize,verb,To optimize is to make something the best it can be.
optometrist,,
oracular,,
oratorical,,
oratorio,,
orb,,
orbital,,
orchestrate,,
orderliness,,
ordinal,noun,"number, eg"
ordinarily,,
ordination,noun,ceremony of making a person a member of the clergy
organisation,,
organizational,,
organized,,
organizer,,
oriental,,
orientate,,
oriented,,
orifice,noun,"The definition of an orifice is an opening, especially an opening to the body or the opening of a tube or pipe."
originality,,
originator,,
ornamental,,
ornamentation,,
ornithologist,,
orphanage,,
orthodoxy,,
oscillation,,
ostrich,noun,"very large African bird with a long neck and long legs, that cannot fly"
other,adjective,The definition of other is the remaining or different one.
otherworldly,,
Ottawa,,
ought to,modalv,used to say what is the right thing to do
,modalv,used to say what you advise or recommend
,modalv,used to say what has probably happened or is probably true
our,adjective,The definition of our is belonging or relating to us.
ours,,
out,adjective,The definition of out is something beyond the set limit or boundary.
,adjective,Out means someone who is openly gay.
,adverb,"Out is defined as away, in the open, into existence, visible or clearly."
outcry,noun,strong public protest
outdated,adjective,no longer useful because of being old-fashioned
outdo,verb,do more or better than sb else
outdoor,adjective,done or situated outside rather than in a building
outdoors,,
outer,adjective,on the outside of sth
,adjective,furthest from the inside or centre of sth
outermost,,
outgas,,
outgrow,verb,grow too big to be able to wear or fit into sth
,verb,stop doing sth or lose interest in sth as you grow older
outgrowth,,
outing,noun,trip made for pleasure
outlast,,
outlive,verb,live longer than sb
outlying,adjective,far from a centre or city
outmoded,adjective,no longer fashionable
outnumber,verb,be greater in number than sb/sth
outperform,,
outpost,noun,small military observation post far from the main army
,noun,small town in a lonely part of a country
outpouring,,
outrageously,,
outsell,,
outsider,noun,person who is not a member of or not accepted by a group of people
,noun,"horse, team, etc that is not expected to win a competition"
outspeak,,
outstrip,verb,"be or become better, larger, more important, etc than sb/sth"
outward,adjective,of or on the outside
,adjective,going away from a particular place
outwardly,,
outwards,,
oval,adjective,(shape) like an egg
oven,noun,enclosed box-like space in which food is cooked
over,preposition,"Over is defined as above, on top of or higher in rank or authority."
overabundance,,
overact,,
overburden,,
overcharge,verb,charge sb too high a price for sth
overcoat,noun,thick warm coat
overcrowd,,
overdo,verb,do sth too much; exaggerate sth
,verb,"work, etc too hard or for too long"
overdose,noun,too much of a drug taken at one time
overemphasis,,
overemphasize,,
overestimate,,
overflow,verb,flow over the edges of sth
,verb,"spread beyond the limits of a room, etc"
,verb,number of people or things that do not fit into the space available
,verb,action of liquid flowing out of a container that is already full; liquid that flows out
overgraze,,
overgrown,adjective,covered with plants that are growing thickly in an uncontrolled way
overhear,verb,hear what sb is saying without them knowing
overjoyed,adjective,extremely happy
overlay,,
overload,verb,put too great a weight on sth
,verb,"put too great a demand on a computer, an electrical system, etc, causing it to fail"
overly,,
overpower,verb,defeat sb by using greater strength
overrate,verb,have too high an opinion of sb/sth
oversea,,
overshadow,verb,make sb/sth seem less important or successful
,verb,throw a shadow over sth
oversleep,verb,sleep longer than you intended
overstate,,
overtake,verb,go past a moving vehicle or person ahead of you
,verb,(of unpleasant events) affect sb suddenly and unexpectedly
overthrow,verb,"remove a government, ruler, etc from power"
overwhelmingly,,
overwork,verb,(cause sb to) work too hard
ovoid,,
ovum,noun,female cell that can develop into a new individual
owing,adjective,still to be paid
,preposition,because of
owing to,,
owner,,
oxen,,
oxide,,
oxidize,,
oz.,,
p.m.,abbreviation,after 12 o'clock noon
pachyderm,,
pacifism,noun,belief that all war is wrong
pacifist,,
packaging,,
packed,,
packer,,
packet,noun,small container in which goods are packed for selling
,noun,large amount of money
,noun,piece of information that forms part of a message sent through a computer network
packing,noun,process of packing goods
,noun,"material used for packing delicate objects, to protect them"
paddy,noun,field in which rice is grown
pager,,
pagoda,noun,"religious building in India or E Asia, in the form of a tower with several levels"
painkiller,,
painter,noun,"person whose job is painting walls, buildings, etc"
,noun,artist who paints pictures
painting,,
pajamas,,
palace,noun,"large splendid house, esp the official home of a king, queen or president"
palatal,,
paleolithic,adjective,"The period of time that extends from the beginning of human existence, approximately 2.5 million years ago, until around 10,000 years ago, relating to the time humans began to use simple tools made from stone.Also referred to as the Old Stone Age."
pallet,noun,The definition of a pallet is a portable platform used to move or store goods or a tool used by potters to smooth clay.
palpitate,verb,"(of the heart) beat very fast and/or irregularly, esp because of fear or excitement"
pancake,noun,thin flat round cake of batter fried on both sides
pancreatic,,
panda,noun,large bear-like black and white animal from China
panoramic,,
panther,noun,black leopard
pants,noun,Pants are trousers or clothing that you wear to cover your legs and bottom.
paper,noun,"Paper is defined as an essay, written report or school exam."
,noun,The definition of a paper is a newspaper.
,noun,Paper means a thin material made of fiber pulp.
paperback,,
paperweight,,
paperwork,,
paraffin,noun,"oil obtained from petroleum, used as a fuel"
paralyse,verb,make sb unable to feel or move all or part of their body
,verb,prevent sth from functioning normally
paralytic,,
paralyze,,
paramilitary,adjective,(of a military force) organized like but not part of an official army
paramour,noun,The definition of a paramour is a lover or romantic partner.
parasitic,,
parathyroid,,
parched,adjective,"very dry, because of a lack of water"
,adjective,very thirsty
parentage,,
parental,,
parenthood,,
parenting,,
Paris,,
park,noun,"The definition of a park is an area of land used for various purposes such as recreation, playgrounds and swimming."
,verb,"Park is defined as to make into an outdoor recreational area, or store in such a space, or to put a car in a space temporarily."
